time,price,quantity
2024-06-01 00:00:00,1898.8,7
2024-06-01 00:01:00,1898.28,8
2024-06-01 00:02:00,1898.92,6
2024-06-01 00:03:00,1899.33,5
2024-06-01 00:04:00,1899.38,1
2024-06-01 00:05:00,1899.56,2
2024-06-01 00:06:00,1899.59,8
2024-06-01 00:07:00,1900.09,7
2024-06-01 00:08:00,1899.73,2
2024-06-01 00:09:00,1900.01,1
2024-06-01 00:10:00,1899.87,7
2024-06-01 00:11:00,1899.77,5
2024-06-01 00:12:00,1899.42,7
2024-06-01 00:13:00,1899.06,9
2024-06-01 00:14:00,1899.43,2
2024-06-01 00:15:00,1899.59,1
2024-06-01 00:16:00,1899.54,3
2024-06-01 00:17:00,1899.13,6
2024-06-01 00:18:00,1898.78,3
2024-06-01 00:19:00,1898.42,1
2024-06-01 00:20:00,1898.58,9
2024-06-01 00:21:00,1897.63,2
2024-06-01 00:22:00,1898.07,7
2024-06-01 00:23:00,1898.57,3
2024-06-01 00:24:00,1898.5,5
2024-06-01 00:25:00,1898.56,4
2024-06-01 00:26:00,1898.47,4
2024-06-01 00:27:00,1898.82,7
2024-06-01 00:28:00,1898.33,3
2024-06-01 00:29:00,1898.8,4
2024-06-01 00:30:00,1899.38,3
2024-06-01 00:31:00,1899.67,3
2024-06-01 00:32:00,1899.19,4
2024-06-01 00:33:00,1899.15,7
2024-06-01 00:34:00,1898.71,3
2024-06-01 00:35:00,1897.98,3
2024-06-01 00:36:00,1898.07,5
2024-06-01 00:37:00,1897.69,1
2024-06-01 00:38:00,1897.25,2
2024-06-01 00:39:00,1897.03,8
2024-06-01 00:40:00,1897.19,7
2024-06-01 00:41:00,1897.4,4
2024-06-01 00:42:00,1897.69,2
2024-06-01 00:43:00,1897.81,5
2024-06-01 00:44:00,1897.65,4
2024-06-01 00:45:00,1897.45,9
2024-06-01 00:46:00,1897.48,4
2024-06-01 00:47:00,1897.07,2
2024-06-01 00:48:00,1896.74,2
2024-06-01 00:49:00,1896.96,9
2024-06-01 00:50:00,1897.05,1
2024-06-01 00:51:00,1897.61,8
2024-06-01 00:52:00,1897.78,9
2024-06-01 00:53:00,1898.13,5
2024-06-01 00:54:00,1898.34,5
2024-06-01 00:55:00,1898.28,4
2024-06-01 00:56:00,1898.17,9
2024-06-01 00:57:00,1898.1,2
2024-06-01 00:58:00,1898.48,4
2024-06-01 00:59:00,1898.57,6
2024-06-01 01:00:00,1898.62,3
2024-06-01 01:01:00,1898.77,2
2024-06-01 01:02:00,1899.31,1
2024-06-01 01:03:00,1899.23,6
2024-06-01 01:04:00,1898.89,3
2024-06-01 01:05:00,1898.95,4
2024-06-01 01:06:00,1898.94,7
2024-06-01 01:07:00,1899.06,2
2024-06-01 01:08:00,1899.57,5
